StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_7_TEXT,Q3,Q4,Q5,Q6,Q6_10_TEXT,Q7,Q7_5_TEXT,Q8,Q9,Q9_12_TEXT,Q10,Q11,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"How do you feel about our church’s mission? 
Memorial Lutheran Church and Student Center is people who share God’s love and the message of His salvation with ISU students, internationals, families, singles, and people of all ages, enabling them to learn and grow by the grace of Jesus Christ. Memorial Lutheran is a ministry of the Lutheran Church-Missouri Synod (LCMS).","What do you look forward to most about coming to church at Memorial? 
Mark all that apply. - Selected Choice","What do you look forward to most about coming to church at Memorial? 
Mark all that apply. - Other (Please describe) - Text",Which church service do you normally attend?,Do you feel spiritually fed after services?,"Do you feel connected to our Memorial church community including other parishioners, clergy and staff?",What things make you feel a connection to others at Memorial? (Check all that apply) - Selected Choice,What things make you feel a connection to others at Memorial? (Check all that apply) - Other - Text,Which styles of music do you feel most connected to during worship service? (check all that apply) - Selected Choice,Which styles of music do you feel most connected to during worship service? (check all that apply) - Other - Text,"We value Memorial's young children and strive to help them grow in the love of Christ.  We would like to know if there are ways we can enhance our Sunday School programming, youth programming and Confirmation classes?",What aspects of our church would you like to see prioritized in the next 3-5 years?  Please select 2-3 - Selected Choice,What aspects of our church would you like to see prioritized in the next 3-5 years?  Please select 2-3 - Other (please explain) - Text,In which age range do you fall?,How long have you been associated with our church?,We welcome any additional thoughts or ideas you’d like to share to help Memorial continue to grow and thrive.
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_7_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_10_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_12_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}"
2025-10-19 09:38:55,2025-10-19 09:42:33,IP Address,140.248.30.156,100,217,True,2025-10-19 09:42:33,R_64UkuuH1Ds25cDT,,,,,41.2612,-95.9354,qr,EN,Satisfied," Worship,Spiritual Message,Other (Please describe)",Absolution/Eucharist,Sunday 11 am,Always,Sometimes,Music groups,,"Traditional organ music,Instrumental music",,,"Bible Studies,Campus Ministry,Outreach,Young adult ministry",,"20-29 ","1-5 years ",
2025-10-19 09:28:33,2025-10-19 09:56:07,IP Address,152.117.104.253,100,1653,True,2025-10-19 09:56:07,R_6RVsujRNKTLa0Zl,,,,,45.0636,-93.2985,qr,EN,Neither satisfied nor dissatisfied,Fellowship,,Saturday 5 pm,Rarely,Sometimes,"Family Events,Volunteering for service projects",,"Traditional organ music,Instrumental music",,,"Young Family Programming,Campus Ministry,Ministry to international students and families",,"50-59 ","Over 20 years ",
2025-10-19 09:46:41,2025-10-19 09:59:35,IP Address,174.228.36.189,100,774,True,2025-10-19 09:59:36,R_3v6BKrAzxDNwdrT,,,,,41.675,-93.7016,qr,EN,Satisfied," Worship,Spiritual Message",,Sunday 8:30 am,Usually,Always,"Bible Studies,Volunteering for service projects",,"Traditional organ music,Live performances",,,"Sunday School Programming,Youth Programming,Young Family Programming",,"50-59 ","Over 20 years ",Acquiring and retaining young families will be important for our church long term growth and success    Getting teens more involved is important.  Offering activities that makes youths want to invite their friends to church will be important
2025-10-19 10:14:42,2025-10-19 10:15:52,IP Address,174.198.70.231,100,69,True,2025-10-19 10:15:52,R_7dGTh8PZN2F2RH2,,,,,41.2884,-95.9972,qr,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Coffee hour/Refreshments,Sunday School/Student Fellowship",,Sunday 8:30 am,Usually,Usually,"Sunday School/Confirmation/Youth Programming,Congregational Meals,Family Events",,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,,,,,
2025-10-19 10:13:07,2025-10-19 10:19:14,IP Address,172.58.10.124,100,366,True,2025-10-19 10:19:15,R_62m4OISVKnlCXL3,,,,,45.0546,-93.2566,qr,EN,Very satisfied," Worship,Coffee hour/Refreshments,Sunday School/Student Fellowship",,Sunday 8:30 am,Usually,Usually,"Sunday School/Confirmation/Youth Programming,Congregational Meals,Other",Connecting with other parents of children in Sunday school,"Traditional organ music,Instrumental music,Live performances",,"More youth singing performances (not just the littlest ones). ","Sunday School Programming,Ministry to international students and families,Young adult ministry",,"40-49 ","6-10 years ",
2025-10-19 10:16:09,2025-10-19 10:31:09,IP Address,174.198.70.231,100,900,True,2025-10-19 10:31:10,R_5myYhTxXtDq1U7l,,,,,41.2884,-95.9972,qr,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Coffee hour/Refreshments,Sunday School/Student Fellowship",,Sunday 8:30 am,Usually,Usually,"Sunday School/Confirmation/Youth Programming,Congregational Meals,Family Events",,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,"Having more prepared music and Sunday school lessons. I feel the content is there but organization lacks. I feel students would be more cooperative if the teachers were more prepared and organized. ","Sunday School Programming,Youth Programming,Young Family Programming",,"20-29 ","6-10 years ",
2025-10-19 09:41:54,2025-10-19 11:20:14,IP Address,174.215.243.245,100,5900,True,2025-10-19 11:20:15,R_1JVZFH3kjybQrgG,,,,,41.2612,-95.9354,qr,EN,Very satisfied," Worship,Fellowship",,Sunday 8:30 am,Always,Usually,"Sunday School/Confirmation/Youth Programming,Congregational Meals,Soup Suppers,Music groups",,"Traditional organ music,Instrumental music",,,"Sunday School Programming,Youth Programming,Young Family Programming",,"20-29 ","6-10 years ",I’d love to see more intergenerational events/initiatives in the congregation.
2025-10-19 13:58:51,2025-10-19 14:01:56,IP Address,208.38.228.17,100,185,True,2025-10-19 14:01:57,R_3e2UcPeADnICI5A,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship",,Sunday 8:30 am,Usually,Sometimes,"Bible Studies,Sunday School/Confirmation/Youth Programming,Soup Suppers,Volunteering for service projects,Outreach from staff/members",,Traditional organ music,,"I think Memorials Sunday school volunteers are doing an amazing job! I wish I had time myself to volunteer, but I'm maxed out as Vice President of our elementary school PTO, a board member of the Iowa Wildlife center, soccer and basketball coach for their teams.. So I appreciate the efforts of others to teach our kids at Sunday School immensely.  ","Sunday School Programming,Youth Programming,Bible Studies",,"40-49 ","11-15 years ",Thank you for conducting a survey.
